feature,details,dtype,missing_count,missing_rate,nunique,min,max,mean,median
APARTMENTS_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,93462,0.5065526324347176,1099,0.0,1.0,0.11773689424893458,0.0864
APARTMENTS_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,93462,0.5065526324347176,731,0.0,1.0,0.11411834497605554,0.084
ENTRANCES_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92770,0.5028020768972282,259,0.0,1.0,0.14974234433592046,0.1379
ENTRANCES_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92770,0.5028020768972282,30,0.0,1.0,0.14522806313769948,0.1379
ENTRANCES_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92770,0.5028020768972282,46,0.0,1.0,0.14924090978459928,0.1379
LIVINGAREA_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92534,0.501522985702362,4954,0.0,1.0,0.10842726916887749,0.0746
LIVINGAREA_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92534,0.501522985702362,4880,0.0,1.0,0.10722953398860526,0.0741
LIVINGAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,92534,0.501522985702362,4961,0.0,1.0,0.10586463271430434,0.073
HOUSETYPE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",str,92424,0.5009267991284836,3,,,,
FLOORSMAX_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,91673,0.49685647079227774,25,0.0,1.0,0.22202945073411395,0.1667
FLOORSMAX_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,91673,0.49685647079227774,48,0.0,1.0,0.22562277099738237,0.1667
FLOORSMAX_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,91673,0.49685647079227774,353,0.0,1.0,0.22602058427498842,0.1667
YEARS_BEGINEXPLUATATION_AVG,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,89898,0.48723618744105884,254,0.0,1.0,0.9776003699475732,0.9816
YEARS_BEGINEXPLUATATION_MEDI,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,89898,0.48723618744105884,228,0.0,1.0,0.9776182225604599,0.9816
YEARS_BEGINEXPLUATATION_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,89898,0.48723618744105884,208,0.0,1.0,0.976951200744123,0.9816
TOTALAREA_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",float64,88967,0.4821902810748702,4778,0.0,1.0,0.10241639749212364,0.0687
EMERGENCYSTATE_MODE,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor",str,87370,0.4735347359977453,2,,,,
OCCUPATION_TYPE,What kind of occupation does the client have,str,57892,0.31376757395423455,18,,,,
EXT_SOURCE_3,Normalized score from external data source,float64,36560,0.19815073764538824,796,0.0005272652387098,0.8960095494948396,0.510553519179955,0.5352762504724826
EMPLOYED_BIRTH_RATIO,Cleaned DAYS_EMPLOYED divided by DAYS_BIRTH.,float64,33225,0.18007544470098533,150316,0.0,0.7186120647376165,0.15697361839123605,0.11883885247297182
DAYS_EMPLOYED,How many days before the application the person started current employment,float64,33225,0.18007544470098533,11367,0.0,17583.0,2384.501279076685,1648.0
BUREAU_AMT_DEBT_SUM,Sum of AMT_CREDIT_SUM_DEBT across Credit Bureau credits for SK_ID_CURR.,float64,30825,0.16706773763454846,99326,-3112461.135,334498331.20500004,662065.9484127706,186393.915
BUREAU_AMT_DEBT_MEAN,Mean AMT_CREDIT_SUM_DEBT across Credit Bureau credits for SK_ID_CURR.,float64,30825,0.16706773763454846,105276,-1083614.67,43650000.0,161029.4963211774,44562.0
BUREAU_DAYS_CREDIT_MEAN,Mean DAYS_CREDIT across Credit Bureau credits for SK_ID_CURR.,float64,26378,0.14296554041602982,49374,-2922.0,-2.0,-1081.9626234470845,-1049.5
BUREAU_APP_CNT,Number of Credit Bureau credits linked to SK_ID_CURR.,float64,26378,0.14296554041602982,57,1.0,94.0,5.555259030658707,4.0
BUREAU_DAYS_CREDIT_MIN,Minimum DAYS_CREDIT across Credit Bureau credits for SK_ID_CURR.,float64,26378,0.14296554041602982,2921,-2922.0,-2.0,-1761.656012850349,-1825.0
BUREAU_CLOSED_RATIO,Share of Credit Bureau credits whose CREDIT_ACTIVE is Closed.,float64,26378,0.14296554041602982,269,0.0,1.0,0.5824301064720863,0.6153846153846154
BUREAU_ACTIVE_RATIO,Share of Credit Bureau credits whose CREDIT_ACTIVE is Active.,float64,26378,0.14296554041602982,268,0.0,1.0,0.41359395341162214,0.375
BUREAU_AMT_CREDIT_SUM_MAX,Maximum AMT_CREDIT_SUM across Credit Bureau credits for SK_ID_CURR.,float64,26378,0.14296554041602982,43771,0.0,170100000.0,977591.4729248458,450000.0
BUREAU_AMT_CREDIT_SUM_SUM,Sum of AMT_CREDIT_SUM across Credit Bureau credits for SK_ID_CURR.,float64,26378,0.14296554041602982,127857,0.0,471622517.46000004,1959713.9901679466,962525.25
BUREAU_AMT_CREDIT_SUM_MEAN,Mean AMT_CREDIT_SUM across Credit Bureau credits for SK_ID_CURR.,float64,26378,0.14296554041602982,129781,0.0,142290000.0,377835.4476420134,196168.809375
AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),float64,24878,0.1348357234995068,10,0.0,19.0,0.2638885408574937,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),float64,24878,0.1348357234995068,24,0.0,25.0,1.9014145388027164,1.0
AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),float64,24878,0.1348357234995068,8,0.0,9.0,0.006903550755506553,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),float64,24878,0.1348357234995068,9,0.0,8.0,0.034085498784674366,0.0
AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),float64,24878,0.1348357234995068,22,0.0,27.0,0.2647342571478688,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,float64,24878,0.1348357234995068,5,0.0,4.0,0.006220713158092565,0.0
POS_DPD_MEAN,Mean SK_DPD across POS/cash-loan monthly records.,float64,10733,0.05817154997669453,7717,0.0,2346.603773584906,4.3669661383385066,0.0
POS_DPD_MAX,Maximum SK_DPD across POS/cash-loan monthly records.,float64,10733,0.05817154997669453,1466,0.0,4050.0,15.531342613639634,0.0
POS_ROW_CNT,Number of POS/cash-loan monthly records for SK_ID_CURR.,float64,10733,0.05817154997669453,220,1.0,295.0,29.5140959757845,22.0
POS_DPD_DEF_MEAN,Mean SK_DPD_DEF across POS/cash-loan monthly records.,float64,10733,0.05817154997669453,3606,0.0,1740.5544554455446,0.2302114273574678,0.0
POS_PREV_CNT,Number of distinct previous loans in POS/cash-loan monthly records.,float64,10733,0.05817154997669453,24,1.0,26.0,2.766292807283065,2.0
POS_DPD_DEF_MAX,Maximum SK_DPD_DEF across POS/cash-loan monthly records.,float64,10733,0.05817154997669453,158,0.0,3361.0,1.505561853682678,0.0
PREV_AMT_APPLICATION_MEAN,Mean requested AMT_APPLICATION across previous Home Credit applications.,float64,9783,0.05302266592956326,124958,0.0,4050000.0,154450.0932506498,106035.75
PREV_AMT_APPLICATION_MIN,Minimum requested AMT_APPLICATION across previous Home Credit applications.,float64,9783,0.05302266592956326,27248,0.0,4050000.0,44528.53320925122,18310.5
PREV_AMT_CREDIT_MAX,Maximum final AMT_CREDIT across previous Home Credit applications.,float64,9783,0.05302266592956326,45875,0.0,4509688.5,415275.21311224054,225000.0
PREV_AMT_APPLICATION_MAX,Maximum requested AMT_APPLICATION across previous Home Credit applications.,float64,9783,0.05302266592956326,35999,0.0,5850000.0,375875.97145413025,202500.0
PREV_APP_CNT,Number of previous Home Credit applications for SK_ID_CURR.,float64,9783,0.05302266592956326,61,1.0,68.0,4.867161163670495,4.0
PREV_APPROVED_RATIO,Share of previous Home Credit applications with status Approved.,float64,9783,0.05302266592956326,325,0.0,1.0,0.7482659769300238,0.8
PREV_AMT_CREDIT_MEAN,Mean final AMT_CREDIT across previous Home Credit applications.,float64,9783,0.05302266592956326,137789,0.0,4050000.0,170547.16206794255,117532.125
PREV_REFUSED_RATIO,Share of previous Home Credit applications with status Refused.,float64,9783,0.05302266592956326,346,0.0,1.0,0.11114576827285813,0.0
INS_PAYMENT_PERC_MIN,Minimum AMT_PAYMENT / AMT_INSTALMENT across installment records.,float64,9428,0.05109860925931948,71138,0.0,1.6004950864800846,0.5960079153712897,1.0
INS_PAYMENT_PERC_MEAN,Mean AMT_PAYMENT / AMT_INSTALMENT across installment records.,float64,9428,0.05109860925931948,29392,0.3333333333333333,8482.446154543808,1.3992984889750912,1.0
INS_PAYMENT_DIFF_SUM,Sum of AMT_INSTALMENT - AMT_PAYMENT across installment records.,float64,9427,0.05109318938137513,78943,-3524591.43,3037735.575,-6599.405894481919,0.0
INS_PAYMENT_DIFF_MEAN,Mean AMT_INSTALMENT - AMT_PAYMENT across installment records.,float64,9427,0.05109318938137513,83569,-337496.805,146145.9,-372.87176202514905,0.0
INS_DPD_MAX,"Maximum days past due, max(DAYS_ENTRY_PAYMENT - DAYS_INSTALMENT, 0).",float64,9424,0.051076929747542084,1342,0.0,2884.0,18.492706274774108,1.0
INS_PREV_CNT,Number of distinct previous loans represented in installment payments.,float64,9424,0.051076929747542084,24,1.0,26.0,2.927451137181435,2.0
INS_DPD_MEAN,"Mean days past due, max(DAYS_ENTRY_PAYMENT - DAYS_INSTALMENT, 0).",float64,9424,0.051076929747542084,17776,0.0,780.0,1.0459674772256564,0.038461538461538464
INS_DBD_MEAN,"Mean days before due, max(DAYS_INSTALMENT - DAYS_ENTRY_PAYMENT, 0).",float64,9424,0.051076929747542084,42632,0.0,295.0,12.263783534994927,10.117647058823529
INS_ROW_CNT,Number of installment-payment records for SK_ID_CURR.,float64,9424,0.051076929747542084,307,1.0,372.0,39.81172821877749,25.0
NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan,str,777,0.0042112451627589345,7,,,,
OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,float64,622,0.0033711640813848874,30,0.0,348.0,1.422701268190816,0.0
DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD,float64,622,0.0033711640813848874,9,0.0,24.0,0.09958995888712449,0.0
OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default,float64,622,0.0033711640813848874,30,0.0,344.0,1.4054131952752822,0.0
DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due),float64,622,0.0033711640813848874,10,0.0,34.0,0.1434871984511975,0.0
EXT_SOURCE_2,Normalized score from external data source,float64,413,0.0022384095910160102,94611,8.173616518884397e-08,0.8549996664047012,0.5146546390741636,0.5661870259499292
AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given,float64,161,0.0008726003490401396,778,45000.0,4050000.0,538687.5925818438,450000.0
CREDIT_GOODS_RATIO,AMT_CREDIT divided by AMT_GOODS_PRICE.,float64,161,0.0008726003490401396,2643,0.15,6.0,1.1228789490506104,1.1188
ANNUITY_INCOME_RATIO,AMT_ANNUITY divided by AMT_INCOME_TOTAL.,float64,7,3.793914561044085e-05,65542,0.00022388461538461538,1.4515714285714285,0.18088114794397375,0.1627
AMT_ANNUITY,Loan annuity,float64,7,3.793914561044085e-05,12411,1615.5,258025.5,27125.497631423477,24930.0
CODE_GENDER,Gender of the client,str,2,1.0839755888697386e-05,2,,,,
CNT_FAM_MEMBERS,How many family members does client have,float64,1,5.419877944348693e-06,12,1.0,20.0,2.152662529470746,2.0
NAME_FAMILY_STATUS,Family status of the client,str,1,5.419877944348693e-06,5,,,,
DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,float64,1,5.419877944348693e-06,3695,0.0,4292.0,966.2505352158478,761.0
FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.1989962386047066,0.0
FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.8198811962754599,1.0
FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.28037570593910227,0.0
FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.9980922029635892,1.0
FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.056626884762555146,0.0
REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)",int64,0,0.0,3,1.0,3.0,2.053082284586951,2.0
REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)",int64,0,0.0,3,1.0,3.0,2.03186888231277,2.0
WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for the loan,str,0,0.0,7,,,,
DAYS_BIRTH,Client's age in days at the time of application,int64,0,0.0,17318,7673.0,25200.0,16029.736566832515,15736.0
DAYS_REGISTRATION,How many days before the application did client change his registration,float64,0,0.0,15068,0.0,24672.0,4995.403786326732,4514.0
FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)",int64,0,0.0,2,0.0,1.0,0.9999945801220557,1.0
DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan,int64,0,0.0,6098,0.0,6551.0,2997.172845327523,3263.0
SK_ID_CURR,ID of loan in our sample,int64,0,0.0,184506,100002.0,456255.0,278550.417140906,278758.5
TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",int8,0,0.0,2,0.0,1.0,0.08072908198107379,0.0
NAME_CONTRACT_TYPE,Identification if loan is cash or revolving,str,0,0.0,2,,,,
FLAG_OWN_CAR,Flag if the client owns a car,str,0,0.0,2,,,,
AMT_CREDIT,Credit amount of the loan,float64,0,0.0,4892,45000.0,4050000.0,599250.1211667913,514822.5
AMT_INCOME_TOTAL,Income of the client,float64,0,0.0,1724,26100.0,117000000.0,169222.76824956914,148500.0
CNT_CHILDREN,Number of children the client has,int64,0,0.0,12,0.0,19.0,0.4173685408604598,0.0
FLAG_OWN_REALTY,Flag if client owns a house or flat,str,0,0.0,2,,,,
NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,…)",str,0,0.0,8,,,,
