feature,level,count,rate,bad_rate
ORGANIZATION_TYPE,Industry: type 7,774,0.004194985528925888,0.07493540051679587
ORGANIZATION_TYPE,University,769,0.004167886139204145,0.055916775032509754
ORGANIZATION_TYPE,Transport: type 3,737,0.003994450044984987,0.1614654002713704
ORGANIZATION_TYPE,Industry: type 1,624,0.0033820038372735844,0.1266025641025641
ORGANIZATION_TYPE,Electricity,607,0.003289865912219657,0.07413509060955518
ORGANIZATION_TYPE,Hotel,568,0.003078490672390058,0.07746478873239436
ORGANIZATION_TYPE,Industry: type 4,557,0.0030188720150022223,0.08797127468581688
ORGANIZATION_TYPE,Trade: type 6,372,0.0020161945952977137,0.03225806451612903
ORGANIZATION_TYPE,Insurance,355,0.0019240566702437862,0.05070422535211268
ORGANIZATION_TYPE,Emergency,351,0.0019023771584663913,0.07407407407407407
ORGANIZATION_TYPE,Telecom,331,0.0017939795995794174,0.07854984894259819
ORGANIZATION_TYPE,Industry: type 5,331,0.0017939795995794174,0.07250755287009064
ORGANIZATION_TYPE,Industry: type 2,283,0.0015338254582506802,0.0989399293286219
ORGANIZATION_TYPE,Advertising,247,0.0013387098522541273,0.08906882591093117
ORGANIZATION_TYPE,Realtor,235,0.001273671316921943,0.13191489361702127
ORGANIZATION_TYPE,Industry: type 12,224,0.0012140526595341072,0.05357142857142857
ORGANIZATION_TYPE,Culture,217,0.0011761135139236665,0.041474654377880185
ORGANIZATION_TYPE,Trade: type 1,199,0.0010785557109253899,0.10552763819095477
ORGANIZATION_TYPE,Mobile,183,0.0009918376638158109,0.08743169398907104
ORGANIZATION_TYPE,Legal Services,178,0.0009647382740940674,0.09550561797752809
ORGANIZATION_TYPE,Cleaning,177,0.0009593183961497187,0.13559322033898305
ORGANIZATION_TYPE,Transport: type 1,123,0.0006666449871548893,0.056910569105691054
ORGANIZATION_TYPE,Industry: type 10,66,0.00035771194432701375,0.07575757575757576
ORGANIZATION_TYPE,Industry: type 6,63,0.0003414523104939677,0.047619047619047616
ORGANIZATION_TYPE,Religion,53,0.0002872535310504807,0.03773584905660377
ORGANIZATION_TYPE,Industry: type 13,41,0.00022221499571829643,0.17073170731707318
ORGANIZATION_TYPE,Trade: type 4,38,0.00020595536188525035,0.02631578947368421
ORGANIZATION_TYPE,Trade: type 5,29,0.0001571764603861121,0.034482758620689655
ORGANIZATION_TYPE,Industry: type 8,16,8.671804710957909e-05,0.0625
FONDKAPREMONT_MODE,MISSING,126059,0.6832243937866519,0.08581695872567607
FONDKAPREMONT_MODE,reg oper account,44416,0.24072929877619156,0.07074027377521613
FONDKAPREMONT_MODE,reg oper spec account,7238,0.03922907656119584,0.06548770378557613
FONDKAPREMONT_MODE,not specified,3412,0.01849262354611774,0.0764947245017585
FONDKAPREMONT_MODE,org spec account,3381,0.01832460732984293,0.059154096421177166
HOUSETYPE_MODE,MISSING,92424,0.5009267991284836,0.09110187830000865
HOUSETYPE_MODE,block of flats,90448,0.4902171203104506,0.06989651512471254
HOUSETYPE_MODE,specific housing,902,0.004888729905802521,0.10643015521064302
HOUSETYPE_MODE,terraced house,732,0.0039673506552632435,0.0778688524590164
WALLSMATERIAL_MODE,MISSING,93670,0.5076799670471421,0.09076545318671933
WALLSMATERIAL_MODE,Panel,39724,0.2152992314613075,0.06386567314469842
WALLSMATERIAL_MODE,"Stone, brick",38982,0.21127768202660077,0.07454722692524755
WALLSMATERIAL_MODE,Block,5588,0.0302862779530205,0.0737294201861131
WALLSMATERIAL_MODE,Wooden,3170,0.01718101308358536,0.09810725552050473
WALLSMATERIAL_MODE,Mixed,1331,0.007213857543928111,0.07663410969196092
WALLSMATERIAL_MODE,Monolithic,1062,0.005755910376898312,0.044256120527306965
WALLSMATERIAL_MODE,Others,979,0.005306060507517371,0.07967313585291114
EMERGENCYSTATE_MODE,No,95738,0.5188882746360552,0.07013933861162756
EMERGENCYSTATE_MODE,MISSING,87370,0.4735347359977453,0.09222845370264393
EMERGENCYSTATE_MODE,Yes,1398,0.007576989366199473,0.08726752503576538
