id,name,stage,source_family,details
61,APPLPREV_1__childnum_21L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `childnum_21L`. Source meaning: Number of children in the previous application.
62,APPLPREV_1__childnum_21L__MAX,B,applprev_1,maximum of `childnum_21L`. Source meaning: Number of children in the previous application.
63,APPLPREV_1__credacc_actualbalance_314A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credacc_actualbalance_314A`. Source meaning: Actual balance on credit account.
64,APPLPREV_1__credacc_actualbalance_314A__MAX,B,applprev_1,maximum of `credacc_actualbalance_314A`. Source meaning: Actual balance on credit account.
65,APPLPREV_1__credacc_credlmt_575A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credacc_credlmt_575A`. Source meaning: Credit card credit limit provided for previous applications.
66,APPLPREV_1__credacc_credlmt_575A__MAX,B,applprev_1,maximum of `credacc_credlmt_575A`. Source meaning: Credit card credit limit provided for previous applications.
67,APPLPREV_1__credacc_maxhisbal_375A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credacc_maxhisbal_375A`. Source meaning: Maximal historical balance of previous credit account
68,APPLPREV_1__credacc_maxhisbal_375A__MAX,B,applprev_1,maximum of `credacc_maxhisbal_375A`. Source meaning: Maximal historical balance of previous credit account
69,APPLPREV_1__credacc_minhisbal_90A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credacc_minhisbal_90A`. Source meaning: Minimum historical balance of previous credit accounts.
70,APPLPREV_1__credacc_minhisbal_90A__MAX,B,applprev_1,maximum of `credacc_minhisbal_90A`. Source meaning: Minimum historical balance of previous credit accounts.
71,APPLPREV_1__credacc_transactions_402L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credacc_transactions_402L`. Source meaning: Number of transactions made with the previous credit account of the applicant.
72,APPLPREV_1__credacc_transactions_402L__MAX,B,applprev_1,maximum of `credacc_transactions_402L`. Source meaning: Number of transactions made with the previous credit account of the applicant.
73,APPLPREV_1__credamount_590A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `credamount_590A`. Source meaning: Loan amount or card limit of previous applications.
74,APPLPREV_1__credamount_590A__MAX,B,applprev_1,maximum of `credamount_590A`. Source meaning: Loan amount or card limit of previous applications.
75,APPLPREV_1__currdebt_94A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `currdebt_94A`. Source meaning: Previous application's current debt.
76,APPLPREV_1__currdebt_94A__MAX,B,applprev_1,maximum of `currdebt_94A`. Source meaning: Previous application's current debt.
77,APPLPREV_1__downpmt_134A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `downpmt_134A`. Source meaning: Previous application downpayment amount.
78,APPLPREV_1__downpmt_134A__MAX,B,applprev_1,maximum of `downpmt_134A`. Source meaning: Previous application downpayment amount.
79,APPLPREV_1__isbidproduct_390L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `isbidproduct_390L`. Source meaning: Flag for determining if the product is a cross-sell in previous applications.
80,APPLPREV_1__isbidproduct_390L__MAX,B,applprev_1,maximum of `isbidproduct_390L`. Source meaning: Flag for determining if the product is a cross-sell in previous applications.
81,APPLPREV_1__isdebitcard_527L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `isdebitcard_527L`. Source meaning: Previous application flag indicating if product being applied for is a debit card.
82,APPLPREV_1__isdebitcard_527L__MAX,B,applprev_1,maximum of `isdebitcard_527L`. Source meaning: Previous application flag indicating if product being applied for is a debit card.
83,APPLPREV_1__mainoccupationinc_437A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `mainoccupationinc_437A`. Source meaning: Client's main income amount in their previous application.
84,APPLPREV_1__mainoccupationinc_437A__MAX,B,applprev_1,maximum of `mainoccupationinc_437A`. Source meaning: Client's main income amount in their previous application.
85,APPLPREV_1__maxdpdtolerance_577P__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `maxdpdtolerance_577P`. Source meaning: Maximum DPD with tolerance (on previous application/s).
86,APPLPREV_1__maxdpdtolerance_577P__MAX,B,applprev_1,maximum of `maxdpdtolerance_577P`. Source meaning: Maximum DPD with tolerance (on previous application/s).
87,APPLPREV_1__outstandingdebt_522A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `outstandingdebt_522A`. Source meaning: Amount of outstanding debt on the client's previous application.
88,APPLPREV_1__outstandingdebt_522A__MAX,B,applprev_1,maximum of `outstandingdebt_522A`. Source meaning: Amount of outstanding debt on the client's previous application.
89,APPLPREV_1__pmtnum_8L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `pmtnum_8L`. Source meaning: Number of payments made for the previous application.
90,APPLPREV_1__pmtnum_8L__MAX,B,applprev_1,maximum of `pmtnum_8L`. Source meaning: Number of payments made for the previous application.
91,APPLPREV_1__revolvingaccount_394A__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `revolvingaccount_394A`. Source meaning: Revolving account that was present in the applicant's previous application.
92,APPLPREV_1__revolvingaccount_394A__MAX,B,applprev_1,maximum of `revolvingaccount_394A`. Source meaning: Revolving account that was present in the applicant's previous application.
93,APPLPREV_1__tenor_203L__MEAN,B,applprev_1,global non-null mean reconstructed from partial sums/counts of `tenor_203L`. Source meaning: Number of instalments in the previous application.
94,APPLPREV_1__tenor_203L__MAX,B,applprev_1,maximum of `tenor_203L`. Source meaning: Number of instalments in the previous application.
95,APPLPREV_1__approvaldate_319D__MIN_GAP,B,applprev_1,minimum decision-date gap of `approvaldate_319D`. Source meaning: Approval Date of Previous Application
96,APPLPREV_1__approvaldate_319D__MAX_GAP,B,applprev_1,maximum decision-date gap of `approvaldate_319D`. Source meaning: Approval Date of Previous Application
97,APPLPREV_1__creationdate_885D__MIN_GAP,B,applprev_1,minimum decision-date gap of `creationdate_885D`. Source meaning: Date when previous application was created.
98,APPLPREV_1__creationdate_885D__MAX_GAP,B,applprev_1,maximum decision-date gap of `creationdate_885D`. Source meaning: Date when previous application was created.
99,APPLPREV_1__dateactivated_425D__MIN_GAP,B,applprev_1,minimum decision-date gap of `dateactivated_425D`. Source meaning: Contract activation date of the applicant's previous application.
100,APPLPREV_1__dateactivated_425D__MAX_GAP,B,applprev_1,maximum decision-date gap of `dateactivated_425D`. Source meaning: Contract activation date of the applicant's previous application.
101,APPLPREV_1__dtlastpmt_581D__MIN_GAP,B,applprev_1,minimum decision-date gap of `dtlastpmt_581D`. Source meaning: Date of last payment made by the applicant.
102,APPLPREV_1__dtlastpmt_581D__MAX_GAP,B,applprev_1,maximum decision-date gap of `dtlastpmt_581D`. Source meaning: Date of last payment made by the applicant.
103,CREDIT_BUREAU_A_1__ROW_COUNT,B,credit_bureau_a_1,Number of raw family rows linked to the case.
104,CREDIT_BUREAU_A_1__credlmt_230A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `credlmt_230A`. Source meaning: Credit limit of the closed credit contracts from credit bureau.
105,CREDIT_BUREAU_A_1__credlmt_230A__MAX,B,credit_bureau_a_1,maximum of `credlmt_230A`. Source meaning: Credit limit of the closed credit contracts from credit bureau.
106,CREDIT_BUREAU_A_1__credlmt_935A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `credlmt_935A`. Source meaning: Credit limit for active loan.
107,CREDIT_BUREAU_A_1__credlmt_935A__MAX,B,credit_bureau_a_1,maximum of `credlmt_935A`. Source meaning: Credit limit for active loan.
108,CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `debtoutstand_525A`. Source meaning: Outstanding amount of existing contract.
109,CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,B,credit_bureau_a_1,maximum of `debtoutstand_525A`. Source meaning: Outstanding amount of existing contract.
110,CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `debtoverdue_47A`. Source meaning: Amount that is currently past due on a client's existing credit contract.
111,CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,B,credit_bureau_a_1,maximum of `debtoverdue_47A`. Source meaning: Amount that is currently past due on a client's existing credit contract.
112,CREDIT_BUREAU_A_1__dpdmax_139P__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `dpdmax_139P`. Source meaning: Maximal days past due for active contract.
113,CREDIT_BUREAU_A_1__dpdmax_139P__MAX,B,credit_bureau_a_1,maximum of `dpdmax_139P`. Source meaning: Maximal days past due for active contract.
114,CREDIT_BUREAU_A_1__dpdmax_757P__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `dpdmax_757P`. Source meaning: Maximum days past due for a closed contract.
115,CREDIT_BUREAU_A_1__dpdmax_757P__MAX,B,credit_bureau_a_1,maximum of `dpdmax_757P`. Source meaning: Maximum days past due for a closed contract.
116,CREDIT_BUREAU_A_1__instlamount_768A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `instlamount_768A`. Source meaning: Instalment amount for the active contract in credit bureau.
117,CREDIT_BUREAU_A_1__instlamount_768A__MAX,B,credit_bureau_a_1,maximum of `instlamount_768A`. Source meaning: Instalment amount for the active contract in credit bureau.
118,CREDIT_BUREAU_A_1__instlamount_852A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `instlamount_852A`. Source meaning: Instalment amount for closed contract.
119,CREDIT_BUREAU_A_1__instlamount_852A__MAX,B,credit_bureau_a_1,maximum of `instlamount_852A`. Source meaning: Instalment amount for closed contract.
120,CREDIT_BUREAU_A_1__monthlyinstlamount_332A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `monthlyinstlamount_332A`. Source meaning: Monthly instalment amount for active contract.
121,CREDIT_BUREAU_A_1__monthlyinstlamount_332A__MAX,B,credit_bureau_a_1,maximum of `monthlyinstlamount_332A`. Source meaning: Monthly instalment amount for active contract.
122,CREDIT_BUREAU_A_1__monthlyinstlamount_674A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `monthlyinstlamount_674A`. Source meaning: Monthly amount of instalment payment on a closed contract.
123,CREDIT_BUREAU_A_1__monthlyinstlamount_674A__MAX,B,credit_bureau_a_1,maximum of `monthlyinstlamount_674A`. Source meaning: Monthly amount of instalment payment on a closed contract.
124,CREDIT_BUREAU_A_1__outstandingamount_354A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `outstandingamount_354A`. Source meaning: Outstanding amount for closed credit contract in credit bureau.
125,CREDIT_BUREAU_A_1__outstandingamount_354A__MAX,B,credit_bureau_a_1,maximum of `outstandingamount_354A`. Source meaning: Outstanding amount for closed credit contract in credit bureau.
126,CREDIT_BUREAU_A_1__outstandingamount_362A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `outstandingamount_362A`. Source meaning: Active contract's outstanding amount.
127,CREDIT_BUREAU_A_1__outstandingamount_362A__MAX,B,credit_bureau_a_1,maximum of `outstandingamount_362A`. Source meaning: Active contract's outstanding amount.
128,CREDIT_BUREAU_A_1__overdueamount_31A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamount_31A`. Source meaning: Past due amount for a closed contract.
129,CREDIT_BUREAU_A_1__overdueamount_31A__MAX,B,credit_bureau_a_1,maximum of `overdueamount_31A`. Source meaning: Past due amount for a closed contract.
130,CREDIT_BUREAU_A_1__overdueamount_659A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamount_659A`. Source meaning: Past due amount for active contract.
131,CREDIT_BUREAU_A_1__overdueamount_659A__MAX,B,credit_bureau_a_1,maximum of `overdueamount_659A`. Source meaning: Past due amount for active contract.
132,CREDIT_BUREAU_A_1__overdueamountmax2_14A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamountmax2_14A`. Source meaning: Maximal past due amount for an active contract.
133,CREDIT_BUREAU_A_1__overdueamountmax2_14A__MAX,B,credit_bureau_a_1,maximum of `overdueamountmax2_14A`. Source meaning: Maximal past due amount for an active contract.
134,CREDIT_BUREAU_A_1__overdueamountmax2_398A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamountmax2_398A`. Source meaning: Maximal overdue amount for a closed contract.
135,CREDIT_BUREAU_A_1__overdueamountmax2_398A__MAX,B,credit_bureau_a_1,maximum of `overdueamountmax2_398A`. Source meaning: Maximal overdue amount for a closed contract.
136,CREDIT_BUREAU_A_1__overdueamountmax_155A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamountmax_155A`. Source meaning: Maximal past due amount for active contract.
137,CREDIT_BUREAU_A_1__overdueamountmax_155A__MAX,B,credit_bureau_a_1,maximum of `overdueamountmax_155A`. Source meaning: Maximal past due amount for active contract.
138,CREDIT_BUREAU_A_1__overdueamountmax_35A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `overdueamountmax_35A`. Source meaning: Maximal past due amount for a closed contract.
139,CREDIT_BUREAU_A_1__overdueamountmax_35A__MAX,B,credit_bureau_a_1,maximum of `overdueamountmax_35A`. Source meaning: Maximal past due amount for a closed contract.
140,CREDIT_BUREAU_A_1__residualamount_488A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `residualamount_488A`. Source meaning: Residual amount of a closed contract.
141,CREDIT_BUREAU_A_1__residualamount_488A__MAX,B,credit_bureau_a_1,maximum of `residualamount_488A`. Source meaning: Residual amount of a closed contract.
142,CREDIT_BUREAU_A_1__residualamount_856A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `residualamount_856A`. Source meaning: Residual amount for the active contract.
143,CREDIT_BUREAU_A_1__residualamount_856A__MAX,B,credit_bureau_a_1,maximum of `residualamount_856A`. Source meaning: Residual amount for the active contract.
144,CREDIT_BUREAU_A_1__totalamount_6A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `totalamount_6A`. Source meaning: Total amount of closed contracts.
145,CREDIT_BUREAU_A_1__totalamount_6A__MAX,B,credit_bureau_a_1,maximum of `totalamount_6A`. Source meaning: Total amount of closed contracts.
146,CREDIT_BUREAU_A_1__totalamount_996A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `totalamount_996A`. Source meaning: Total amount of active contracts in the credit bureau.
147,CREDIT_BUREAU_A_1__totalamount_996A__MAX,B,credit_bureau_a_1,maximum of `totalamount_996A`. Source meaning: Total amount of active contracts in the credit bureau.
148,CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `totaldebtoverduevalue_178A`. Source meaning: Total amount of past due debt on active contracts.
149,CREDIT_BUREAU_A_1__totaldebtoverduevalue_178A__MAX,B,credit_bureau_a_1,maximum of `totaldebtoverduevalue_178A`. Source meaning: Total amount of past due debt on active contracts.
150,CREDIT_BUREAU_A_1__totaldebtoverduevalue_718A__MEAN,B,credit_bureau_a_1,global non-null mean reconstructed from partial sums/counts of `totaldebtoverduevalue_718A`. Source meaning: Total overdue debt amount for closed credit contracts.
151,CREDIT_BUREAU_A_1__totaldebtoverduevalue_718A__MAX,B,credit_bureau_a_1,maximum of `totaldebtoverduevalue_718A`. Source meaning: Total overdue debt amount for closed credit contracts.
152,CREDIT_BUREAU_B_1__ROW_COUNT,B,credit_bureau_b_1,Number of raw family rows linked to the case.
153,CREDIT_BUREAU_B_1__amount_1115A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `amount_1115A`. Source meaning: Credit amount of the active contract provided by the credit bureau.
154,CREDIT_BUREAU_B_1__amount_1115A__MAX,B,credit_bureau_b_1,maximum of `amount_1115A`. Source meaning: Credit amount of the active contract provided by the credit bureau.
155,CREDIT_BUREAU_B_1__credlmt_1052A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `credlmt_1052A`. Source meaning: Credit limit of an active loan.
156,CREDIT_BUREAU_B_1__credlmt_1052A__MAX,B,credit_bureau_b_1,maximum of `credlmt_1052A`. Source meaning: Credit limit of an active loan.
157,CREDIT_BUREAU_B_1__credlmt_228A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `credlmt_228A`. Source meaning: Credit limit for closed loans.
158,CREDIT_BUREAU_B_1__credlmt_228A__MAX,B,credit_bureau_b_1,maximum of `credlmt_228A`. Source meaning: Credit limit for closed loans.
159,CREDIT_BUREAU_B_1__credlmt_3940954A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `credlmt_3940954A`. Source meaning: Credit limit for active loan.
160,CREDIT_BUREAU_B_1__credlmt_3940954A__MAX,B,credit_bureau_b_1,maximum of `credlmt_3940954A`. Source meaning: Credit limit for active loan.
161,CREDIT_BUREAU_B_1__credquantity_1099L__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `credquantity_1099L`. Source meaning: Number of credits in credit bureau
162,CREDIT_BUREAU_B_1__credquantity_1099L__MAX,B,credit_bureau_b_1,maximum of `credquantity_1099L`. Source meaning: Number of credits in credit bureau
163,CREDIT_BUREAU_B_1__credquantity_984L__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `credquantity_984L`. Source meaning: Number of closed credits in credit bureau.
164,CREDIT_BUREAU_B_1__credquantity_984L__MAX,B,credit_bureau_b_1,maximum of `credquantity_984L`. Source meaning: Number of closed credits in credit bureau.
165,CREDIT_BUREAU_B_1__debtpastduevalue_732A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `debtpastduevalue_732A`. Source meaning: Amount of unpaid debt for existing contracts.
166,CREDIT_BUREAU_B_1__debtpastduevalue_732A__MAX,B,credit_bureau_b_1,maximum of `debtpastduevalue_732A`. Source meaning: Amount of unpaid debt for existing contracts.
167,CREDIT_BUREAU_B_1__debtvalue_227A__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `debtvalue_227A`. Source meaning: Outstanding amount for existing debt contracts.
168,CREDIT_BUREAU_B_1__debtvalue_227A__MAX,B,credit_bureau_b_1,maximum of `debtvalue_227A`. Source meaning: Outstanding amount for existing debt contracts.
169,CREDIT_BUREAU_B_1__dpd_550P__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `dpd_550P`. Source meaning: The number of days past due for active loans where a guarantee has been provided.
170,CREDIT_BUREAU_B_1__dpd_550P__MAX,B,credit_bureau_b_1,maximum of `dpd_550P`. Source meaning: The number of days past due for active loans where a guarantee has been provided.
171,CREDIT_BUREAU_B_1__dpd_733P__MEAN,B,credit_bureau_b_1,global non-null mean reconstructed from partial sums/counts of `dpd_733P`. Source meaning: Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.
172,CREDIT_BUREAU_B_1__dpd_733P__MAX,B,credit_bureau_b_1,maximum of `dpd_733P`. Source meaning: Days past due (DPD) for guaranteed loans that were terminated according to credit bureau data.
