feature,category,count,bad_count,bad_rate,good_count,population_percent,bad_rate_percent
ORGANIZATION_TYPE,School,8893,526,0.05914764421455077,8367,2.8919290692040285,5.914764421455077
ORGANIZATION_TYPE,Trade: type 7,7831,740,0.09449623292044439,7091,2.546575569654419,9.44962329204444
ORGANIZATION_TYPE,Kindergarten,6880,484,0.07034883720930232,6396,2.237318339831746,7.034883720930233
ORGANIZATION_TYPE,Construction,6721,785,0.11679809552149978,5936,2.185612872385053,11.679809552149978
ORGANIZATION_TYPE,Business Entity Type 1,5984,487,0.0813836898395722,5497,1.9459466490629604,8.13836898395722
ORGANIZATION_TYPE,Transport: type 4,5398,501,0.0928121526491293,4897,1.7553843602342678,9.28121526491293
ORGANIZATION_TYPE,Trade: type 3,3492,361,0.1033791523482245,3131,1.1355691341122756,10.33791523482245
ORGANIZATION_TYPE,Industry: type 9,3368,225,0.06680522565320665,3143,1.0952453733362384,6.680522565320665
ORGANIZATION_TYPE,Industry: type 3,3278,348,0.10616229408175717,2930,1.0659781276116953,10.616229408175718
ORGANIZATION_TYPE,Security,3247,324,0.09978441638435478,2923,1.055897187417686,9.978441638435479
ORGANIZATION_TYPE,Housing,2958,235,0.07944557133198107,2723,0.9619168094799861,7.944557133198107
ORGANIZATION_TYPE,Industry: type 11,2704,234,0.08653846153846154,2470,0.8793181382129419,8.653846153846153
ORGANIZATION_TYPE,Military,2634,135,0.05125284738041002,2499,0.8565547248716306,5.125284738041002
ORGANIZATION_TYPE,Bank,2507,130,0.051854806541683285,2377,0.8152553892381086,5.1854806541683285
ORGANIZATION_TYPE,Agriculture,2454,257,0.10472697636511817,2197,0.7980202334225442,10.472697636511818
ORGANIZATION_TYPE,Police,2341,117,0.04997864160615122,2224,0.7612735804572844,4.997864160615122
ORGANIZATION_TYPE,Transport: type 2,2204,172,0.0780399274047187,2032,0.7167223286321465,7.80399274047187
ORGANIZATION_TYPE,Postal,2157,182,0.08437644877144182,1975,0.7014383225315517,8.437644877144182
ORGANIZATION_TYPE,Security Ministries,1974,96,0.0486322188449848,1878,0.6419282562249806,4.86322188449848
ORGANIZATION_TYPE,Trade: type 2,1900,133,0.07,1767,0.6178640764070228,7.000000000000001
ORGANIZATION_TYPE,Restaurant,1811,212,0.11706239646604086,1599,0.5889220223016413,11.706239646604086
ORGANIZATION_TYPE,Services,1575,104,0.06603174603174604,1471,0.5121768001795057,6.603174603174604
ORGANIZATION_TYPE,University,1327,65,0.048982667671439335,1262,0.43152927862743123,4.898266767143934
ORGANIZATION_TYPE,Industry: type 7,1307,105,0.08033664881407804,1202,0.42502544624419936,8.033664881407804
ORGANIZATION_TYPE,Transport: type 3,1187,187,0.15754001684919966,1000,0.3860024519448085,15.754001684919967
ORGANIZATION_TYPE,Industry: type 1,1039,115,0.11068334937439846,924,0.33787409230889304,11.068334937439845
ORGANIZATION_TYPE,Hotel,966,62,0.06418219461697723,904,0.3141351041100969,6.418219461697723
ORGANIZATION_TYPE,Electricity,950,63,0.06631578947368422,887,0.3089320382035114,6.631578947368421
ORGANIZATION_TYPE,Industry: type 4,877,89,0.10148232611174458,788,0.2851930500047153,10.148232611174459
ORGANIZATION_TYPE,Trade: type 6,631,29,0.04595879556259905,602,0.2051959116909639,4.595879556259905
ORGANIZATION_TYPE,Industry: type 5,599,41,0.06844741235392321,558,0.194789779877793,6.844741235392321
ORGANIZATION_TYPE,Insurance,597,34,0.05695142378559464,563,0.1941393966394698,5.6951423785594635
ORGANIZATION_TYPE,Telecom,577,44,0.07625649913344887,533,0.187635564256238,7.625649913344887
ORGANIZATION_TYPE,Emergency,560,40,0.07142857142857142,520,0.18210730673049094,7.142857142857142
ORGANIZATION_TYPE,Industry: type 2,458,33,0.07205240174672489,425,0.14893776157600866,7.20524017467249
ORGANIZATION_TYPE,Advertising,429,35,0.08158508158508158,394,0.13950720462032254,8.158508158508159
ORGANIZATION_TYPE,Realtor,396,42,0.10606060606060606,354,0.12877588118799002,10.606060606060606
ORGANIZATION_TYPE,Culture,379,21,0.055408970976253295,358,0.12324762366224297,5.540897097625329
ORGANIZATION_TYPE,Industry: type 12,369,14,0.037940379403794036,355,0.11999570747062707,3.7940379403794036
ORGANIZATION_TYPE,Trade: type 1,348,31,0.08908045977011494,317,0.11316668346823366,8.908045977011495
ORGANIZATION_TYPE,Mobile,317,29,0.0914826498422713,288,0.10308574327422433,9.14826498422713
ORGANIZATION_TYPE,Legal Services,305,24,0.07868852459016394,281,0.09918344384428524,7.868852459016394
ORGANIZATION_TYPE,Cleaning,260,29,0.11153846153846154,231,0.08454982098201365,11.153846153846155
ORGANIZATION_TYPE,Transport: type 1,201,9,0.04477611940298507,192,0.06536351545147978,4.477611940298507
ORGANIZATION_TYPE,Industry: type 6,112,8,0.07142857142857142,104,0.03642146134609819,7.142857142857142
ORGANIZATION_TYPE,Industry: type 10,109,7,0.06422018348623854,102,0.035445886488613416,6.422018348623854
ORGANIZATION_TYPE,Religion,85,5,0.058823529411764705,80,0.02764128762873523,5.88235294117647
ORGANIZATION_TYPE,Industry: type 13,67,9,0.13432835820895522,58,0.021787838483826594,13.432835820895523
ORGANIZATION_TYPE,Trade: type 4,64,2,0.03125,62,0.02081226362634182,3.125
ORGANIZATION_TYPE,Trade: type 5,49,3,0.061224489795918366,46,0.015934389338917956,6.122448979591836
ORGANIZATION_TYPE,Industry: type 8,24,3,0.125,21,0.007804598859878184,12.5
NAME_TYPE_SUITE,Unaccompanied,248526,20337,0.08183047246565751,228189,80.81857234375356,8.183047246565751
NAME_TYPE_SUITE,Family,40149,3009,0.07494582679518792,37140,13.056118317718715,7.494582679518793
NAME_TYPE_SUITE,"Spouse, partner",11370,895,0.07871591908531222,10475,3.697428709867289,7.871591908531222
NAME_TYPE_SUITE,Children,3267,241,0.07376798285889195,3026,1.0624010198009177,7.376798285889195
NAME_TYPE_SUITE,Other_B,1770,174,0.09830508474576272,1596,0.575589165916016,9.830508474576272
NAME_TYPE_SUITE,<MISSING>,1292,70,0.05417956656346749,1222,0.42014757195677555,5.41795665634675
NAME_TYPE_SUITE,Other_A,866,76,0.08775981524249422,790,0.2816159421939378,8.775981524249422
NAME_TYPE_SUITE,Group of people,271,23,0.08487084870848709,248,0.08812692879279115,8.487084870848708
