feature,category,count,percent
NAME_HOUSING_TYPE,House / apartment,272868,88.73438673738501
NAME_HOUSING_TYPE,With parents,14840,4.82584362835801
NAME_HOUSING_TYPE,Municipal apartment,11183,3.636617877084072
NAME_HOUSING_TYPE,Rented apartment,4881,1.5872602931277255
NAME_HOUSING_TYPE,Office apartment,2617,0.8510264673458836
NAME_HOUSING_TYPE,Co-op apartment,1122,0.36486499669930506
ORGANIZATION_TYPE,Business Entity Type 3,67992,22.110428570034895
ORGANIZATION_TYPE,XNA,55374,18.00716071945394
ORGANIZATION_TYPE,Self-employed,38412,12.491260475235032
ORGANIZATION_TYPE,Other,16683,5.425171782472822
ORGANIZATION_TYPE,Medicine,11193,3.639869793275688
ORGANIZATION_TYPE,Business Entity Type 2,10553,3.4317471570122695
ORGANIZATION_TYPE,Government,10404,3.383293605757193
ORGANIZATION_TYPE,School,8893,2.8919290692040285
ORGANIZATION_TYPE,Trade: type 7,7831,2.546575569654419
ORGANIZATION_TYPE,Kindergarten,6880,2.237318339831746
ORGANIZATION_TYPE,Construction,6721,2.185612872385053
ORGANIZATION_TYPE,Business Entity Type 1,5984,1.9459466490629604
ORGANIZATION_TYPE,Transport: type 4,5398,1.7553843602342678
ORGANIZATION_TYPE,Trade: type 3,3492,1.1355691341122756
ORGANIZATION_TYPE,Industry: type 9,3368,1.0952453733362384
ORGANIZATION_TYPE,Industry: type 3,3278,1.0659781276116953
ORGANIZATION_TYPE,Security,3247,1.055897187417686
ORGANIZATION_TYPE,Housing,2958,0.9619168094799861
ORGANIZATION_TYPE,Industry: type 11,2704,0.8793181382129419
ORGANIZATION_TYPE,Military,2634,0.8565547248716306
ORGANIZATION_TYPE,Bank,2507,0.8152553892381086
ORGANIZATION_TYPE,Agriculture,2454,0.7980202334225442
ORGANIZATION_TYPE,Police,2341,0.7612735804572844
ORGANIZATION_TYPE,Transport: type 2,2204,0.7167223286321465
ORGANIZATION_TYPE,Postal,2157,0.7014383225315517
ORGANIZATION_TYPE,Security Ministries,1974,0.6419282562249806
ORGANIZATION_TYPE,Trade: type 2,1900,0.6178640764070228
ORGANIZATION_TYPE,Restaurant,1811,0.5889220223016413
ORGANIZATION_TYPE,Services,1575,0.5121768001795057
ORGANIZATION_TYPE,University,1327,0.43152927862743123
ORGANIZATION_TYPE,Industry: type 7,1307,0.42502544624419936
ORGANIZATION_TYPE,Transport: type 3,1187,0.3860024519448085
ORGANIZATION_TYPE,Industry: type 1,1039,0.33787409230889304
ORGANIZATION_TYPE,Hotel,966,0.3141351041100969
ORGANIZATION_TYPE,Electricity,950,0.3089320382035114
ORGANIZATION_TYPE,Industry: type 4,877,0.2851930500047153
ORGANIZATION_TYPE,Trade: type 6,631,0.2051959116909639
ORGANIZATION_TYPE,Industry: type 5,599,0.194789779877793
ORGANIZATION_TYPE,Insurance,597,0.1941393966394698
ORGANIZATION_TYPE,Telecom,577,0.187635564256238
ORGANIZATION_TYPE,Emergency,560,0.18210730673049094
ORGANIZATION_TYPE,Industry: type 2,458,0.14893776157600866
ORGANIZATION_TYPE,Advertising,429,0.13950720462032254
ORGANIZATION_TYPE,Realtor,396,0.12877588118799002
ORGANIZATION_TYPE,Culture,379,0.12324762366224297
ORGANIZATION_TYPE,Industry: type 12,369,0.11999570747062707
ORGANIZATION_TYPE,Trade: type 1,348,0.11316668346823366
ORGANIZATION_TYPE,Mobile,317,0.10308574327422433
ORGANIZATION_TYPE,Legal Services,305,0.09918344384428524
ORGANIZATION_TYPE,Cleaning,260,0.08454982098201365
ORGANIZATION_TYPE,Transport: type 1,201,0.06536351545147978
ORGANIZATION_TYPE,Industry: type 6,112,0.03642146134609819
ORGANIZATION_TYPE,Industry: type 10,109,0.035445886488613416
ORGANIZATION_TYPE,Religion,85,0.02764128762873523
ORGANIZATION_TYPE,Industry: type 13,67,0.021787838483826594
ORGANIZATION_TYPE,Trade: type 4,64,0.02081226362634182
ORGANIZATION_TYPE,Trade: type 5,49,0.015934389338917956
ORGANIZATION_TYPE,Industry: type 8,24,0.007804598859878184
