feature,missing_count,missing_percent,nunique,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
HOUR_APPR_PROCESS_START,0,0.0,24,307511.0,12.063418869568894,3.265832255437871,0.0,4.0,7.0,10.0,12.0,14.0,17.0,19.0,23.0
REG_REGION_NOT_LIVE_REGION,0,0.0,2,307511.0,0.015144173704355291,0.12212647628215205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
REG_REGION_NOT_WORK_REGION,0,0.0,2,307511.0,0.05076891558350758,0.21952582879696064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LIVE_REGION_NOT_WORK_REGION,0,0.0,2,307511.0,0.04065870814377372,0.19749861882842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
REG_CITY_NOT_LIVE_CITY,0,0.0,2,307511.0,0.07817281333025486,0.26844377237340455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
REG_CITY_NOT_WORK_CITY,0,0.0,2,307511.0,0.23045354475124466,0.4211238359138973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
LIVE_CITY_NOT_WORK_CITY,0,0.0,2,307511.0,0.17955455252007246,0.38381661538559586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
EXT_SOURCE_1,173378,56.381072546998325,114584,134133.0,0.5021298056566624,0.21106224927392495,0.0145681324124455,0.08425667101058731,0.15802123068407123,0.3340072886740926,0.5059979305057544,0.6750525982300696,0.8322601465728647,0.8894105328176929,0.962692770561306
EXT_SOURCE_2,660,0.21462646864665005,119831,306851.0,0.5143926741308464,0.19106015498493653,8.173616518884397e-08,0.0294766996211982,0.1332991460331683,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.7477341421710526,0.7827928199705348,0.8549996664047012
EXT_SOURCE_3,60965,19.825307062186393,814,246546.0,0.5108529061799657,0.1948443644637488,0.0005272652387098,0.0646719558983517,0.1547436312725944,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.7862666146611379,0.8327850252992314,0.8960095494948396
APARTMENTS_AVG,156061,50.74972927797705,2339,151450.0,0.11744049917464508,0.10824029130032231,0.0,0.0021,0.0082,0.0577,0.0876,0.1485,0.3268,0.5448610000000103,1.0
BASEMENTAREA_AVG,179943,58.51595552679416,3780,127568.0,0.08844221905179983,0.08243815873568511,0.0,0.0,0.0,0.0442,0.0763,0.1122,0.2237,0.38596600000000036,1.0
YEARS_BEGINEXPLUATATION_AVG,150007,48.781019215572776,285,157504.0,0.9777348581623325,0.05922331435836282,0.0,0.9488,0.9687,0.9767,0.9816,0.9866,0.996,0.999,1.0
YEARS_BUILD_AVG,204488,66.49778381911543,149,103023.0,0.7524714325927221,0.11327992663224716,0.0,0.3472,0.5920000000000001,0.6872,0.7552,0.8232,0.9524,0.9864,1.0
COMMONAREA_AVG,214865,69.87229725115525,3181,92646.0,0.044620715411350736,0.07603574505040936,0.0,0.0,0.0,0.0078,0.0211,0.0515,0.1601,0.3765550000000003,1.0
ELEVATORS_AVG,163891,53.29597965601231,257,143620.0,0.07894151232418883,0.13457600110034418,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.6,1.0
ENTRANCES_AVG,154828,50.3487680115508,285,152683.0,0.1497246700680495,0.10004912076035907,0.0,0.0345,0.0345,0.069,0.1379,0.2069,0.3103,0.5172,1.0
FLOORSMAX_AVG,153020,49.76082156410665,403,154491.0,0.22628190703665582,0.144640699548004,0.0,0.0,0.0417,0.1667,0.1667,0.3333,0.4792,0.6667,1.0
FLOORSMIN_AVG,208642,67.84862980511267,305,98869.0,0.2318935004905481,0.1613802888001374,0.0,0.0,0.0417,0.0833,0.2083,0.375,0.5,0.7083,1.0
LANDAREA_AVG,182590,59.376737742714894,3527,124921.0,0.06633318417239695,0.08118364070179358,0.0,0.0,0.0,0.0187,0.0481,0.0856,0.1947,0.3746,1.0
LIVINGAPARTMENTS_AVG,210199,68.35495315614726,1868,97312.0,0.10077477495067412,0.0925761339604974,0.0,0.0034,0.0101,0.0504,0.0756,0.121,0.2723,0.4539,1.0
LIVINGAREA_AVG,154350,50.193326417591564,5199,153161.0,0.10739901933259771,0.11056452318371336,0.0,0.0022,0.0082,0.0453,0.0745,0.1299,0.3205,0.5509,1.0
NONLIVINGAPARTMENTS_AVG,213514,69.43296337366793,386,93997.0,0.008808672617211188,0.04773166205034794,0.0,0.0,0.0,0.0,0.0,0.0039,0.0309,0.1081,1.0
NONLIVINGAREA_AVG,169682,55.17916432257708,3290,137829.0,0.02835775707579682,0.06952318332123605,0.0,0.0,0.0,0.0,0.0036,0.0277,0.1279,0.3165,1.0
APARTMENTS_MODE,156061,50.74972927797705,760,151450.0,0.11423100693298119,0.10793603908753287,0.0,0.0021,0.0084,0.0525,0.084,0.1439,0.3193,0.541,1.0
BASEMENTAREA_MODE,179943,58.51595552679416,3841,127568.0,0.08754321224758561,0.08430717486924559,0.0,0.0,0.0,0.0407,0.0746,0.1124,0.2277,0.3962,1.0
YEARS_BEGINEXPLUATATION_MODE,150007,48.781019215572776,221,157504.0,0.9770653729429093,0.06457543708048018,0.0,0.9489,0.9682,0.9767,0.9816,0.9866,0.996,0.999,1.0
YEARS_BUILD_MODE,204488,66.49778381911543,154,103023.0,0.7596373227337585,0.11011102734194828,0.0,0.3662,0.608,0.6994,0.7648,0.8236,0.9543,0.9869,1.0
COMMONAREA_MODE,214865,69.87229725115525,3128,92646.0,0.042553137750145714,0.07444452253839155,0.0,0.0,0.0,0.0072,0.019,0.049,0.1532,0.3655550000000003,1.0
ELEVATORS_MODE,163891,53.29597965601231,26,143620.0,0.07448973610917699,0.13225614415050652,0.0,0.0,0.0,0.0,0.0,0.1208,0.3222,0.6042,1.0
ENTRANCES_MODE,154828,50.3487680115508,30,152683.0,0.14519265864569075,0.10097698816024665,0.0,0.0345,0.0345,0.069,0.1379,0.2069,0.3103,0.5172,1.0
FLOORSMAX_MODE,153020,49.76082156410665,25,154491.0,0.2223150474784939,0.14370940659531573,0.0,0.0,0.0417,0.1667,0.1667,0.3333,0.4583,0.6667,1.0
FLOORSMIN_MODE,208642,67.84862980511267,25,98869.0,0.22805849255074895,0.16115977149547595,0.0,0.0,0.0417,0.0833,0.2083,0.375,0.5,0.7083,1.0
LANDAREA_MODE,182590,59.376737742714894,3563,124921.0,0.06495768445657656,0.08175027780843543,0.0,0.0,0.0,0.0166,0.0458,0.0841,0.1956,0.37888000000000177,1.0
LIVINGAPARTMENTS_MODE,210199,68.35495315614726,736,97312.0,0.10564485674942452,0.09788044657879372,0.0,0.0028,0.011,0.0542,0.0771,0.1313,0.2948,0.4885,1.0
LIVINGAREA_MODE,154350,50.193326417591564,5301,153161.0,0.10597505043712172,0.11184526587783379,0.0,0.0019,0.0079,0.0427,0.0731,0.1252,0.3229999999999999,0.5616399999999994,1.0
NONLIVINGAPARTMENTS_MODE,213514,69.43296337366793,167,93997.0,0.008076387544283328,0.046276266219835646,0.0,0.0,0.0,0.0,0.0,0.0039,0.0272,0.0973,1.0
NONLIVINGAREA_MODE,169682,55.17916432257708,3327,137829.0,0.027022319685987714,0.07025385904394456,0.0,0.0,0.0,0.0,0.0011,0.0231,0.1294,0.3221,1.0
APARTMENTS_MEDI,156061,50.74972927797705,1148,151450.0,0.11784992076592933,0.10907590600115313,0.0,0.0021,0.0083,0.0583,0.0864,0.1489,0.33,0.5501100000000093,1.0
BASEMENTAREA_MEDI,179943,58.51595552679416,3772,127568.0,0.08795485466574689,0.08217874951463416,0.0,0.0,0.0,0.0437,0.0758,0.1116,0.2231,0.3845,1.0
YEARS_BEGINEXPLUATATION_MEDI,150007,48.781019215572776,245,157504.0,0.9777522640694839,0.05989731850511965,0.0,0.9493,0.9687,0.9767,0.9816,0.9866,0.996,0.999,1.0
YEARS_BUILD_MEDI,204488,66.49778381911543,151,103023.0,0.7557462721916466,0.11206630964404388,0.0,0.3559,0.5975,0.6914,0.7585,0.8256,0.953,0.9866,1.0
COMMONAREA_MEDI,214865,69.87229725115525,3202,92646.0,0.04459510178529024,0.07614426224091465,0.0,0.0,0.0,0.0079,0.0208,0.0513,0.1609,0.3785550000000003,1.0
ELEVATORS_MEDI,163891,53.29597965601231,46,143620.0,0.07807784431137725,0.13446714769067492,0.0,0.0,0.0,0.0,0.0,0.12,0.36,0.6,1.0
ENTRANCES_MEDI,154828,50.3487680115508,46,152683.0,0.14921278072869934,0.10036839449763228,0.0,0.0345,0.0345,0.069,0.1379,0.2069,0.3103,0.5172,1.0
FLOORSMAX_MEDI,153020,49.76082156410665,49,154491.0,0.22589659009262678,0.14506702591935142,0.0,0.0,0.0417,0.1667,0.1667,0.3333,0.4792,0.6667,1.0
FLOORSMIN_MEDI,208642,67.84862980511267,47,98869.0,0.23162493804933804,0.16193354145715616,0.0,0.0,0.0417,0.0833,0.2083,0.375,0.5,0.7083,1.0
LANDAREA_MEDI,182590,59.376737742714894,3560,124921.0,0.06716874904939922,0.08216701028007205,0.0,0.0,0.0,0.0187,0.0487,0.0868,0.1976,0.3812800000000003,1.0
LIVINGAPARTMENTS_MEDI,210199,68.35495315614726,1097,97312.0,0.1019544732407103,0.09364233271153832,0.0,0.0034,0.0103,0.0513,0.0761,0.1231,0.277,0.4617,1.0
LIVINGAREA_MEDI,154350,50.193326417591564,5281,153161.0,0.10860673604899419,0.11226025867534761,0.0,0.0022,0.0083,0.0457,0.0749,0.1303,0.3255,0.558099999999997,1.0
NONLIVINGAPARTMENTS_MEDI,213514,69.43296337366793,214,93997.0,0.008651013330212667,0.04741472790780269,0.0,0.0,0.0,0.0,0.0,0.0039,0.0311,0.1048,1.0
NONLIVINGAREA_MEDI,169682,55.17916432257708,3323,137829.0,0.02823592059726182,0.07016648150682482,0.0,0.0,0.0,0.0,0.0031,0.0266,0.1295,0.3212720000000001,1.0
TOTALAREA_MODE,148431,48.26851722377411,5116,159080.0,0.1025466626854413,0.10746232414961877,0.0,0.0016,0.0067,0.0412,0.0688,0.1276,0.3092,0.5258,1.0
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844,33,306490.0,1.4222454239942575,2.400988746109008,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844,10,306490.0,0.1434206662533851,0.4466984293815287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844,33,306490.0,1.4052921791901856,2.3798033519793806,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.3320206431639844,9,306490.0,0.10004894123788705,0.3622908039755737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0
DAYS_LAST_PHONE_CHANGE,1,0.00032519161916159093,3773,307510.0,-962.8587883320868,826.8084870406566,-4292.0,-3149.0,-2522.0,-1570.0,-757.0,-274.0,0.0,0.0,0.0
FLAG_DOCUMENT_2,0,0.0,2,307511.0,4.2274910491006824e-05,0.006501789045489792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,0,0.0,2,307511.0,0.7100233812774177,0.4537519684327392,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FLAG_DOCUMENT_4,0,0.0,2,307511.0,8.129790479039775e-05,0.00901618321655089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,0,0.0,2,307511.0,0.015114906458630749,0.12201022281354128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
FLAG_DOCUMENT_6,0,0.0,2,307511.0,0.0880553866365756,0.2833758928629899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_7,0,0.0,2,307511.0,0.00019186305530533867,0.01385015767701742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,0,0.0,2,307511.0,0.08137595077899652,0.27341204894451304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_9,0,0.0,2,307511.0,0.00389579559755586,0.062294710800393685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_10,0,0.0,2,307511.0,2.276341334131137e-05,0.004771055354069213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,0,0.0,2,307511.0,0.003912055178513939,0.06242406326684518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,0,0.0,2,307511.0,6.503832383231819e-06,0.0025502570915978662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,0,0.0,2,307511.0,0.003525077151711646,0.05926771807375309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,0,0.0,2,307511.0,0.0029364803210291664,0.054109767376428794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,0,0.0,2,307511.0,0.0012097128232811183,0.034759938827692606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,0,0.0,2,307511.0,0.009928100133003373,0.09914416233784908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,0,0.0,2,307511.0,0.0002666571277125046,0.016327488741596615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,0,0.0,2,307511.0,0.008129790479039774,0.08979823610939557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,0,0.0,2,307511.0,0.0005951006630657115,0.024387465065862264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,0,0.0,2,307511.0,0.0005072989258920819,0.02251762026844613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,0,0.0,2,307511.0,0.0003349473677364387,0.01829853182243764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.501630835970097,5,265992.0,0.006402448193930645,0.08384912844747723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.501630835970097,9,265992.0,0.0070002105326475985,0.11075740632435452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.501630835970097,9,265992.0,0.0343619356973142,0.2046848758128245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,41519,13.501630835970097,24,265992.0,0.26739526000781977,0.9160023961526176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.501630835970097,11,265992.0,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.501630835970097,25,265992.0,1.899974435321363,1.869294998181557,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,25.0
