feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv
PERSON_1__birth_259D__MAX_GAP,"(16739.5, 20720.5]",218449,6019,212430,0.19409555457993802,0.17045888965976186,0.12985643589650822,0.0030693730630141,0.0938983792518369
PERSON_1__birth_259D__MAX_GAP,"(20720.5, inf]",247440,4693,242747,0.22179588446759532,0.1329095105271355,0.512088994906231,0.045517733892029476,0.0938983792518369
PERSON_1__birth_259D__MAX_GAP,MISSING,0,0,0,4.568448376761765e-07,1.4158891075650955e-05,0.0,0.0,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(-inf, 9064.5]",71986,3936,68050,0.0621770392525653,0.11147294943859996,-0.5837961677894163,0.028778763454298292,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(9064.5, 9918.5]",60244,2775,57469,0.05250928879766205,0.07859600436093846,-0.40333077961376823,0.010521575325698895,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(9918.5, 11249.5]",105496,4121,101375,0.09262574768368247,0.11671173913659082,-0.23113997092132874,0.005567235364036608,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(11249.5, 16739.5]",426155,13766,412389,0.37679602837371917,0.38983674798589774,-0.03402405434322517,0.0004436981527595257,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(16739.5, 20720.5]",218449,6019,212430,0.19409555457993802,0.17045888965976186,0.12985643589650822,0.0030693730630141,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,"(20720.5, inf]",247440,4693,242747,0.22179588446759532,0.1329095105271355,0.512088994906231,0.045517733892029476,0.0938983792518369
PERSON_1__birth_259D__MIN_GAP,MISSING,0,0,0,4.568448376761765e-07,1.4158891075650955e-05,0.0,0.0,0.0938983792518369
STATIC_CB_0__days360_512L,"(-inf, 2.5]",405095,10207,394888,0.3608055453653776,0.28905376130941424,0.22172646160435772,0.015909269192528733,0.07156360022133448
STATIC_CB_0__days360_512L,"(2.5, 5.5]",275783,7627,268156,0.24501182542862324,0.2159938833590553,0.12605638693445742,0.0036578969335631247,0.07156360022133448
STATIC_CB_0__days360_512L,"(5.5, 7.5]",109067,3490,105577,0.09646507169951304,0.09884321859911932,-0.024353952796314405,5.79172773357127e-05,0.07156360022133448
STATIC_CB_0__days360_512L,"(7.5, 9.5]",70306,2473,67833,0.061978768593013836,0.07004403415124527,-0.12233221922773586,0.0009866418343994754,0.07156360022133448
STATIC_CB_0__days360_512L,"(9.5, 14.5]",87115,3809,83306,0.07611628893974079,0.10787659110538463,-0.3487256103460104,0.011075630757487864,0.07156360022133448
STATIC_CB_0__days360_512L,"(14.5, inf]",56029,3568,52461,0.047933530903497466,0.10105200560692086,-0.7458200129412466,0.03961682149072651,0.07156360022133448
STATIC_CB_0__days360_512L,MISSING,126375,4136,122239,0.11168896907023396,0.11713650586886035,-0.0476220253084799,0.0002594227352930615,0.07156360022133448
APPLPREV_1__ROW_COUNT,"(-inf, 1.5]",180158,5072,175086,0.15997472734357976,0.14364194996247895,0.10769210404493455,0.0017589111610682622,0.03973839553776473
APPLPREV_1__ROW_COUNT,"(1.5, 2.5]",143344,4400,138944,0.126952155096995,0.12461240035680406,0.018602161233620663,4.352449492416027e-05,0.03973839553776473
APPLPREV_1__ROW_COUNT,"(2.5, 5.5]",273690,9196,264494,0.24166589383748294,0.260424483554448,-0.07475676051349738,0.0014023313990421137,0.03973839553776473
APPLPREV_1__ROW_COUNT,"(5.5, 6.5]",56109,1994,54115,0.049444773626530256,0.05647981650077166,-0.1330269818326168,0.0009358505206233918,0.03973839553776473
APPLPREV_1__ROW_COUNT,"(6.5, 8.5]",79704,3024,76680,0.0700621811508561,0.08564713211661262,-0.2008525905596233,0.0031302777752168992,0.03973839553776473
APPLPREV_1__ROW_COUNT,"(8.5, inf]",149538,6066,143472,0.13108934194699046,0.17178982542087304,-0.2703926940617023,0.011005113376116904,0.03973839553776473
APPLPREV_1__ROW_COUNT,MISSING,247227,5558,241669,0.22081092699756547,0.15740439208801166,0.338488561808148,0.021462386810772997,0.03973839553776473
